,crim,rm,dis
1,0.00632,6.575,4.09
2,0.02731,6.421,4.9671
3,0.02729,7.185,4.9671
4,0.03237,6.998,6.0622
5,0.06905,7.147,6.0622
6,0.02985,6.43,6.0622
7,0.08829,6.012,5.5605
8,0.14455,6.172,5.9505
9,0.21124,5.631,6.0821
10,0.17004,6.004,6.5921
11,0.22489,6.377,6.3467
12,0.11747,6.009,6.2267
13,0.09378,5.889,5.4509
14,0.62976,5.949,4.7075
15,0.63796,6.096,4.4619
16,0.62739,5.834,4.4986
17,1.05393,5.935,4.4986
18,0.7842,5.99,4.2579
19,0.80271,5.456,3.7965
20,0.7258,5.727,3.7965
21,1.25179,5.57,3.7979
22,0.85204,5.965,4.0123
23,1.23247,6.142,3.9769
24,0.98843,5.813,4.0952
25,0.75026,5.924,4.3996
26,0.84054,5.599,4.4546
27,0.67191,5.813,4.682
28,0.95577,6.047,4.4534
29,0.77299,6.495,4.4547
30,1.00245,6.674,4.239
31,1.13081,5.713,4.233
32,1.35472,6.072,4.175
33,1.38799,5.95,3.99
34,1.15172,5.701,3.7872
35,1.61282,6.096,3.7598
36,0.06417,5.933,3.3603
37,0.09744,5.841,3.3779
38,0.08014,5.85,3.9342
39,0.17505,5.966,3.8473
40,0.02763,6.595,5.4011
41,0.03359,7.024,5.4011
42,0.12744,6.77,5.7209
43,0.1415,6.169,5.7209
44,0.15936,6.211,5.7209
45,0.12269,6.069,5.7209
46,0.17142,5.682,5.1004
47,0.18836,5.786,5.1004
48,0.22927,6.03,5.6894
49,0.25387,5.399,5.87
50,0.21977,5.602,6.0877
51,0.08873,5.963,6.8147
52,0.04337,6.115,6.8147
53,0.0536,6.511,6.8147
54,0.04981,5.998,6.8147
55,0.0136,5.888,7.3197
56,0.01311,7.249,8.6966
57,0.02055,6.383,9.1876
58,0.01432,6.816,8.3248
59,0.15445,6.145,7.8148
60,0.10328,5.927,6.932
61,0.14932,5.741,7.2254
62,0.17171,5.966,6.8185
63,0.11027,6.456,7.2255
64,0.1265,6.762,7.9809
65,0.01951,7.104,9.2229
66,0.03584,6.29,6.6115
67,0.04379,5.787,6.6115
68,0.05789,5.878,6.498
69,0.13554,5.594,6.498
70,0.12816,5.885,6.498
71,0.08826,6.417,5.2873
72,0.15876,5.961,5.2873
73,0.09164,6.065,5.2873
74,0.19539,6.245,5.2873
75,0.07896,6.273,4.2515
76,0.09512,6.286,4.5026
77,0.10153,6.279,4.0522
78,0.08707,6.14,4.0905
79,0.05646,6.232,5.0141
80,0.08387,5.874,4.5026
81,0.04113,6.727,5.4007
82,0.04462,6.619,5.4007
83,0.03659,6.302,5.4007
84,0.03551,6.167,5.4007
85,0.05059,6.389,4.7794
86,0.05735,6.63,4.4377
87,0.05188,6.015,4.4272
88,0.07151,6.121,3.7476
89,0.0566,7.007,3.4217
90,0.05302,7.079,3.4145
91,0.04684,6.417,3.0923
92,0.03932,6.405,3.0921
93,0.04203,6.442,3.6659
94,0.02875,6.211,3.6659
95,0.04294,6.249,3.615
96,0.12204,6.625,3.4952
97,0.11504,6.163,3.4952
98,0.12083,8.069,3.4952
99,0.08187,7.82,3.4952
100,0.0686,7.416,3.4952
101,0.14866,6.727,2.7778
102,0.11432,6.781,2.8561
103,0.22876,6.405,2.7147
104,0.21161,6.137,2.7147
105,0.1396,6.167,2.421
106,0.13262,5.851,2.1069
107,0.1712,5.836,2.211
108,0.13117,6.127,2.1224
