Model,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Agfa ePhoto 1280,38,114,70,40,4,420,95,179
Canon PowerShot 350,42,42,70,3,2,320,93,149
Casio Exilim EX-P505,38,190,40,1,7,275,99,249
Casio GV-10,35,35,60,10,8,320,101,249
Casio QV-R62,39,117,70,10,9,218,88,249
Contax TVS Digital,35,105,60,15,0,260,112,549
Epson R-D1,0,0,0,0,0,620,142,4499
HP Photosmart 320,38,38,75,0,8,240,113,179
JVC GC-QX3HD,37,86,50,2,8,320,111,14
Kodak C300,37,37,80,0,16,198,104,129
