Sr.,Taxpayer Name,Registration No.,Tax Paid
95,4 SQUARE COMMUNICATION (PRIVATE) LIMITED,3539182,"4 09,084"
96,4 STAR TRADERS (PRIVATE) LIMITED,7984939,-
97,4 WALLS (PRIVATE) LIMITED,4305463,"11,063,807"
98,4 YOU TRAVELS & TOURS (PVT.) LIMITED,7390525,-
99,42 DAY CHALLENGE (PVT.) LIMITED,7175907,-
100,49TH NORTH (SMC-PVT) LIMITED,4410811,"3 23,644"
101,4B GENTEL INTERNATIONAL (PRIVATE) LIMITED,2501685,"4,128,619"
102,4B MARKETING (PRIVATE) LIMITED,2567682,"3,621,500"
103,4B SOLUTIONS PRIVATE LIMITED,2691579,-
104,4-C PVT LTD,2628244,-
105,4CS MARKETING (PRIVATE) LIMITED,3600029,-
106,4D ENERGY (PVT.) LIMITED,7179044,-
107,4G MARKETING & MANAGEMENT (PRIVATE) LIMITED,7942753,-
108,4H (PVT.) LIMITED,7365679,"27,913,991"
109,4M (PRIVATE) LIMITED,2632575,-
110,4PL GLOBAL (PVT.) LIMITED,7312347,-
111,4PL SOLUTIONS (PRIVATE) LIMITED,3972810,"1 55,369"
112,4S (PRIVATE) LIMITED,7953607,-
113,4S GLOBAL (PRIVATE) LIMITED,7571696,-
114,4S TRADERS (PRIVATE) LIMITED,7495569,-
115,4SQUARE (PVT.) LIMITED,7932411,-
116,4-STAR ENERGY (PRIVATE) LIMITED,7470821,-
117,4STITCH (PRIVATE) LIMITED,8938818,-
118,4TH DIMENSION CONSULTING (PVT.) LIMITED,4289795,-
119,4VS PHARMACEUTICAL (PVT.) LIMITED,7182845,-
120,4XTRA PROJECTS LIMITED,7132595,-
121,5 KEY STRATEGY CONSULTENCY (PRIVATE) LIMITED,4128764,-
122,5 PEARLS (PRIVATE)LIMITED,4164906,-
123,5 STAR AVIATION (PVT) LTD,4351406,"7,544"
124,5 STAR SHIPPING AGENCY (PRIVATE) LIMITED,3287196,-
125,56 SECURITY GUARDS (PRIVATE) LIMITED,4004189,"1,552,371"
126,5B-MARKETING (PRIVATE) LIMITED,8900019,-
127,5D SERVICES (PRIVATE) LIMITED,4275449,"2 82,150"
128,5G HEALTHCARE (PRIVATE) LIMITED,7417070,-
129,5G PROPERTIES (PRIVATE) LIMITED,5061771,-
130,5GWIFI COMMUNICATION (SMC-PVT.) LIMITED,7141257,"13,376"
131,5P SOLUTIONS (PRIVATE) LIMITED,7499849,-
132,5TH ELEMENT (PRIVATE) LIMITED,2549619,"3 59,999"
133,6666 DESIGNERS (PRIVATE) LIMITED,4315177,"2 45,000"
134,6M BUSINESS SOLUTIONS (PRIVATE) LTD,4282275,"1 37,311"
135,7 LION (PRIVATE) LIMITED,5337466,-
136,7 SEAS HAJJ & UMRAH SERVICES (PRIVATE) LIMITED,2461429,"8 74,000"
137,7 STAR AGRI PRODUCTS (PRIVATE) LIMITED,7965522,"17,601"
138,7 STAR ENGINEERING KINETICS (PVT.) LIMITED,7287608,"3,715,855"
139,7 STAR SOLUTIONS (SMC-PRIVATE) LIMITED,8911533,-
140,7 STAR TELECOM (PRIVATE) LIMITED,7932929,-
141,7 STRIPE SERVICES (PRIVATE) LIMITED,7597323,-
142,70F-FRIENDS OF HUMANITY FOUNDATION,7327870,-
143,786 CART (PRIVATE) LIMITED,4250323,"1 74,221"
144,786 KARVAN IBRAR-E-TAYYEBA TRAVEL & TOURS (PVT) LTD,4160688,"15,199"
145,786 NETWORK (PRIVATE) LIMITED,4270125,-
146,786 WORLD TRAVEL AND TOURISM (SMC-PVT.) LIMITED,7125362,-
147,786.COM,2495340,-
148,7-CONTINENTS TRAVEL (PRIVATE) LIMITED,4261253,-
149,7TH EARTH SKY (SMC-PRIVATE) LIMITED,7566944,-
150,7TH SENS (PRIVATE) LIMITED,3822891,-
151,8.2 OZ PAKISTAN (SMC-PVT.) LIMITED,7101701,-
152,8.2 RENEWABLE ENERGY EXPERTS PAKISTAN (PVT.) LIMITED,7164580,"2,847,997"
153,89 PRODUCTIONS (PRIVATE) LIMITED,7611440,-
154,9 SQUARES (PRIVATE) LIMITED,7550026,1
